organization,state,group1,records,year,source,group,Business Associate Present
Palmetto Health,SC,Healthcare Provider,23811,2019,Hacking,Email,No
"Dr. DeLuca Dr. Marciano & Associates, P.C. ",CT,Healthcare Provider,23578,2019,Hacking,Computer ,No
"Critical Care, Pulmonary and Sleep Associates, PLLP",CO,Healthcare Provider,23377,2019,Hacking,Email,No
Mayfield Clinic Inc,OH,Healthcare Provider,23341,2016,Hacking,Email,No
Eastern Shore Rural Health System Inc.,VA,Healthcare Provider,23282,2021,Hacking,Network Server,Yes
"Prosthetic & Orthotic Care, Inc.",MO,Healthcare Provider,23015,2016,Hacking,Network Server,No
National Counseling Group,VA,Healthcare Provider,23000,2016,Hacking,Email,No
Total Urology Care of New York PLLC,NY,Healthcare Provider,23000,2021,Unauthorized Access,Network Server,No
OneDigital Health and Benefits,GA,Business Associate,22894,2020,Theft/Loss,Computer ,Yes
Richard J. Caron Foundation ,PA,Healthcare Provider,22718,2020,Hacking,Network Server,Yes
King County Public Hospital District No. 2 d/b/a EvergreenHealth,WA,Healthcare Provider,22579,2021,Hacking,Network Server,Yes
National Imaging Associates,MD,Business Associate,22560,2020,Hacking,Email,Yes
"CJ Elmwood Partners, L.P.",IA,Healthcare Provider,22416,2018,Hacking,Network Server,No
North Ottawa Medical Group,MI,Healthcare Provider,22000,2016,Unauthorized Access,Network Server,Yes
"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)",IL,Healthcare Provider,22000,2017,Theft/Loss,Paper/Films,No
"Cleveland Medical Associates, PLLC",TN,Healthcare Provider,22000,2017,Hacking,Network Server,No
Sweetser ,ME,Healthcare Provider,22000,2019,Hacking,Email,No
Family Medical Center of Michigan ,MI,Healthcare Provider,21988,2021,Hacking,Network Server,No
New York State Office of Mental Health,NY,Healthcare Provider,21880,2016,Hacking,Network Server,No
"CBS Consolidated, Inc.",NE,Business Associate,21856,2017,Hacking,Network Server,Yes
"Accu Copy of Greenville, Incorporated",NC,Business Associate,21800,2020,Hacking,Computer ,Yes
Haven Behavioral Healthcare,TN,Business Associate,21714,2021,Hacking,Network Server,Yes
Denton Heart Group - Affiliate of HealthTexas Provider Network,TX,Healthcare Provider,21665,2017,Theft/Loss,Computer,No
Lawrence + Memorial Hospital,CT,Healthcare Provider,21617,2020,Hacking,Network Server,Yes
Shingle Springs Health and Wellness Center,CA,Healthcare Provider,21513,2019,Hacking,Network Server,No
Boulder Neurosurgical and Spine Associates,CO,Healthcare Provider,21450,2021,Hacking,Email,No
St. Croix Hospice,MN,Healthcare Provider,21407,2019,Hacking,Email,No
Reliable Respiratory,MA,Healthcare Provider,21311,2018,Hacking,Email,No
North Memorial Health,MN,Healthcare Provider,21236,2020,Hacking,Network Server,Yes
"The Centers for Advanced Orthopaedics, LLC",MD,Healthcare Provider,21162,2021,Hacking,Network Server,No
Meharry Medical College,TN,Healthcare Provider,20963,2020,Hacking,Email,No
Samaritan Center of Puget Sound,WA,Healthcare Provider,20866,2021,Theft/Loss,Computer ,No
"Northwest Eye Surgeons, P.C. and Sight Partners LLC",WA,Healthcare Provider,20838,2020,Hacking,Network Server,No
Minnesota Department of Human Services,MN,Health Plan,20800,2018,Hacking,Email,No
Precision Spine Care,TX,Healthcare Provider,20787,2021,Hacking,Email,No
Blue Shield of California,CA,Health Plan,20764,2016,Unauthorized Access,Network Server,No
"First Impressions Orthodontics, a subsidiary of Professional Dental Alliance of Connecticut PLLC",CT,Healthcare Provider,20727,2020,Hacking,Network Server,No
"Welfare, Pension and Annuity Funds of Local No. ONE, I.A.T.S.E.",NY,Health Plan,20579,2021,Hacking,Email,No
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,20536,2019,Unauthorized Access,Other,No
"Medical Management, LLC (MML)",NC,Business Associate,20512,2015,Theft/Loss,Other,Yes
"Health Recovery Services, Inc.",OH,Healthcare Provider,20485,2019,Hacking,Network Server,No
Lifespan Corporation,RI,Healthcare Provider,20431,2017,Theft/Loss,Computer ,No
Pasquotank-Camden Emergency Medical Service,NC,Healthcare Provider,20420,2019,Hacking,Network Server,No
Utah Valley Eye Center,UT,Healthcare Provider,20418,2019,Hacking,Computer ,No
Center for Vitreo-Retinal Diseases,IL,Healthcare Provider,20371,2018,Hacking,Network Server,No
"Beacon Health Solutions, LLC",FL,Business Associate,20151,2021,Hacking,Network Server,Yes
Carpenters Benefit Funds of Philadelphia,PA,Health Plan,20015,2018,Hacking,Email,No
Catawba Valley Medical Center,NC,Healthcare Provider,20000,2018,Hacking,Email,No
"GULFPORT ANESTHESIA SERVICES, PA",MS,Healthcare Provider,20000,2019,Theft/Loss,Other,No
Owens Ear Center,TX,Healthcare Provider,19908,2020,Hacking,Network Server,No
Northstar Healthcare Acquisitions LLC,TX,Healthcare Provider,19898,2016,Theft/Loss,Computer ,Yes
Rady Children???s Hospital ??? San Diego,CA,Healthcare Provider,19837,2020,Hacking,Network Server,Yes
NorthStar Anesthesia,TX,Healthcare Provider,19807,2018,Hacking,Email,No
"NorthStar Anesthesia, P.A.",TX,Healthcare Provider,19807,2019,Unauthorized Access,Paper/Films,Yes
Integrated Health Solutions PC,PA,Healthcare Provider,19776,2016,Hacking,Network Server,Yes
Ashland Women's Health,KY,Healthcare Provider,19727,2017,Hacking,Network Server,No
Seneca Family of Agencies,CA,Business Associate,19725,2021,Hacking,Network Server,Yes
"Leo Edwards, Jr., M.D. ",TX,Healthcare Provider,19564,2017,Hacking,Network Server,No
University of Alabama at Birmingham,AL,Healthcare Provider,19557,2019,Hacking,Email,No
Randleman Eye Center,NC,Healthcare Provider,19556,2020,Hacking,Network Server,No
Directions for Living,FL,Healthcare Provider,19494,2021,Hacking,Network Server,No
Pain Treatment Centers of America ,AR,Healthcare Provider,19397,2016,Hacking,Network Server,Yes
"Toyota Industries North America, Inc. as plan sponsor to the Toyota Industries North America, Inc. Welfare Benefit Plan",IN,Health Plan,19320,2018,Hacking,Email,No
Veterans Health Administration,DC,Healthcare Provider,19254,2018,Unauthorized Access,Paper/Films,Yes
"Medical Oncology Hematology Consultants,PA",DE,Healthcare Provider,19203,2017,Hacking,Computer ,No
"Oncology Consultants, P.A.",TX,Healthcare Provider,19114,2017,Hacking,Computer ,No
Orlando Orthopaedic Center,FL,Healthcare Provider,19101,2018,Unauthorized Access,Network Server,Yes
Prisma Health - Midlands,SC,Healthcare Provider,19060,2019,Hacking,Other,No
South Sunflower County Hospital,MS,Healthcare Provider,19000,2015,Improper Disposal,Paper/Films,No
Advanced Fertility Center of Chicago,IL,Healthcare Provider,19000,2016,Hacking,Computer ,No
"Fort HealthCare, Inc.",WI,Healthcare Provider,19000,2019,Hacking,Email,Yes
Legacy Community Health Services,TX,Healthcare Provider,19000,2020,Hacking,Email,No
Buddhist Tzu Chi Medical Foundation,CA,Healthcare Provider,18968,2021,Hacking,Network Server,No
Memorial Sloan Kettering Cancer Center,NY,Healthcare Provider,18913,2021,Unauthorized Access,Network Server,Yes
University of Pittsburgh Medical Center Health Plan ,PA,Health Plan,18900,2021,Hacking,Email,No
Aetna Inc.,CT,Business Associate,18854,2016,Theft/Loss,Other,Yes
"Durango Family Medicine, P.C.",CO,Healthcare Provider,18790,2017,Theft/Loss,Computer,No
Hawaii Independent Physicians Association,HI,Business Associate,18770,2021,Hacking,Email,Yes
Pacific Ocean Pediatrics,CA,Healthcare Provider,18637,2017,Theft/Loss,Computer,No
"Dormant: Professional Dental Alliance of Florida, LLC",PA,Healthcare Provider,18626,2021,Unauthorized Access,Email,No
Catholic Medical Center,NH,Healthcare Provider,18623,2020,Hacking,Network Server,Yes
"Anthem, Inc.",IN,Health Plan,18580,2017,Unauthorized Access,Email,Yes
University Medical Center Physicians,TX,Healthcare Provider,18500,2018,Hacking,Email,No
University of Houston for UH College of Optometry,TX,Healthcare Provider,18500,2021,Hacking,Network Server,No
Doctors Community Medical Center,MD,Healthcare Provider,18481,2020,Hacking,Email,No
Bethesda Hospital ,FL,Healthcare Provider,18477,2021,Unauthorized Access,Network Server,No
K&B Surgical Center LLC,CA,Healthcare Provider,18444,2021,Hacking,Computer ,No
Barnes-Jewish Hospital,MO,Healthcare Provider,18436,2018,Unauthorized Access,Network Server,No
California Physicians' Service d/b/a Blue Shield of California,CA,Health Plan,18416,2019,Hacking,Network Server,Yes
Sunrise Community Health,CO,Healthcare Provider,18404,2019,Hacking,Email,No
"Franciscan Health, Highline Medical Center",WA,Healthcare Provider,18399,2016,Unauthorized Access,Network Server,Yes
UW Medicine,WA,Healthcare Provider,18389,2021,Hacking,Network Server,Yes
"Global Care Delivery, Inc.",TX,Business Associate,18213,2015,Theft/Loss,Computer ,Yes
FastHealth Corporation,AL,Business Associate,18192,2017,Hacking,Network Server,Yes
FastHealth Corporation,AL,Business Associate,18192,2018,Hacking,Network Server,Yes
OAA Orthopaedic Associates,PA,Healthcare Provider,18052,2021,Hacking,Network Server,No
Children's National Medical Center,DC,Healthcare Provider,18000,2015,Hacking,Email,No
Cancer Care Center,TN,Healthcare Provider,17809,2021,Hacking,Network Server,Yes
Healthcare Administrative Partners,PA,Business Associate,17693,2019,Hacking,Email,Yes
Faxton St. Luke's Healthcare,NY,Healthcare Provider,17656,2021,Hacking,Network Server,Yes
"Capital Digestive Care, Inc.",MD,Healthcare Provider,17639,2018,Unauthorized Access,Network Server,Yes
Metropolitan Urology Group,WI,Business Associate,17634,2017,Hacking,Network Server,Yes
"Midwest Transplant Network, Inc.  ",KS,Healthcare Provider,17580,2021,Hacking,Network Server,No
Health Prime International ,MD,Business Associate,17562,2021,Hacking,Network Server,Yes
Cheyenne Regional Medical Center,WY,Healthcare Provider,17549,2019,Hacking,Email,No
"Women???s Health USA, Inc.",CT,Business Associate,17531,2019,Hacking,Computer ,Yes
"Harbor Health Services, Inc.",MA,Healthcare Provider,17380,2019,Hacking,Email,No
TRUEbenefits LLC,WA,Business Associate,17309,2017,Hacking,Email,Yes
"Central Kansas Orthopedic Group, LLC",KS,Healthcare Provider,17214,2020,Hacking,Network Server,No
Valley Mountain Regional Center,CA,Business Associate,17197,2021,Hacking,Email,Yes
Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,AR,Healthcare Provider,17100,2016,Hacking,Network Server,Yes
"Neeley-Nemeth, LLP d/b/a Barton Oaks Dental Group",TX,Healthcare Provider,17090,2017,Hacking,Computer ,No
"Tri-State Specialists, LLP",IA,Healthcare Provider,17050,2020,Unauthorized Access,Email,No
"Temple University Hospital, Inc. ",PA,Healthcare Provider,17041,2021,Hacking,Network Server,Yes
Family Service Rochester,MN,Healthcare Provider,17037,2017,Hacking,Network Server,No
Loyola University Medical Center,IL,Healthcare Provider,16934,2021,Hacking,Email,No
Cancer Treatment Centers of America?? (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,16819,2019,Hacking,Email,No
Baptist Health Arkansas,AR,Healthcare Provider,16765,2021,Hacking,Network Server,Yes
"Independence Blue Cross, LLC",PA,Business Associate,16762,2018,Unauthorized Access,Other,Yes
"Dormant: Professional Dental Alliance of Illinois, PLLC",PA,Healthcare Provider,16673,2021,Unauthorized Access,Email,No
Andrews Braces,NV,Healthcare Provider,16622,2020,Hacking,Network Server,No
Elwyn,PA,Healthcare Provider,16579,2020,Hacking,Email,No
Chase Brexton Health Care,MD,Healthcare Provider,16562,2017,Hacking,Email,No
University Medical Center of New Orleans,LA,Business Associate,16559,2021,Hacking,Email,Yes
"Takai, Hoover, and Hsu, P.A.",MD,Healthcare Provider,16542,2019,Unauthorized Access,Computer ,No
Hackensack Sleep and Pulmonary Center,NJ,Healthcare Provider,16474,2017,Hacking,Network Server,No
"Kentucky Counseling Center, LLC",KY,Healthcare Provider,16440,2019,Unauthorized Access,Network Server,No
"The Bridge, Inc.",NY,Healthcare Provider,16431,2020,Hacking,Email,No
Iowa Health System d/b/a UnityPoint Health,IA,Business Associate,16429,2018,Hacking,Email,Yes
Steward Medical Group,MA,Healthcare Provider,16276,2018,Hacking,Network Server,Yes
"Longs Peak Family Practice, P.C.",CO,Healthcare Provider,16238,2018,Hacking,Computer ,No
King of Prussia Dental Associates,PA,Healthcare Provider,16228,2016,Hacking,Network Server,No
ENT and Allergy Center,AR,Healthcare Provider,16200,2016,Hacking,Network Server,No
Seeley Enterprises Company,OH,Healthcare Provider,16196,2021,Hacking,Network Server,No
Hospital Sisters Health System,IL,Healthcare Provider,16167,2020,Hacking,Email,No
"New England Dermatology, P.C.",MA,Healthcare Provider,16154,2018,Improper Disposal,Paper/Films,No
Oakland Family Services,MI,Healthcare Provider,16107,2015,Hacking,Email,No
Walgreen Co.,IL,Healthcare Provider,16089,2021,Unauthorized Access,Email,No
"Hematology Oncology Associates, PC",OR,Healthcare Provider,16073,2019,Hacking,Email,No
Century Specialty Script,NY,Healthcare Provider,16038,2021,Hacking,Email,No
Children's Medical Clinics of East Texas,TX,Healthcare Provider,16000,2015,Unauthorized Access,Computer ,No
"Singh and Arora Oncology Hematology, P.C.",MI,Healthcare Provider,16000,2016,Hacking,Network Server,Yes
USC Keck and Norris Hospitals,CA,Healthcare Provider,16000,2016,Hacking,Network Server,No
HeartCare Consultants,FL,Healthcare Provider,16000,2016,Hacking,Network Server,No
"Mind and Motion, LLC",GA,Healthcare Provider,16000,2018,Hacking,Network Server,No
"HealthEquity, Inc.",UT,Business Associate,16000,2018,Hacking,Email,Yes
"Knoxville Heart Group, Inc.",TN,Healthcare Provider,15995,2018,Hacking,Email,No
South Texas Dermatopathology Laboratory,TX,Healthcare Provider,15982,2019,Hacking,Network Server,No
Central Valley Regional Center,CA,Business Associate,15975,2019,Hacking,Email,Yes
National Ambulatory Hernia Institute,CA,Healthcare Provider,15974,2018,Hacking,Network Server,No
Yale New Haven Hospital,CT,Healthcare Provider,15904,2020,Hacking,Network Server,Yes
Human Affairs International of California,CA,Business Associate,15843,2020,Hacking,Email,Yes
"Bansley and Kiener, LLP",IL,Business Associate,15814,2021,Hacking,Network Server,Yes
"Personal Touch Home Care of Ohio, Inc.",NY,Healthcare Provider,15808,2020,Hacking,Network Server,Yes
Institute for Women's Health,TX,Healthcare Provider,15761,2017,Hacking,Network Server,No
Cornerstones of Care,MO,Healthcare Provider,15680,2020,Hacking,Other,Yes
Saltzer Health,ID,Healthcare Provider,15650,2021,Hacking,Email,No
Mercy Iowa City,IA,Healthcare Provider,15625,2016,Hacking,Computer ,No
Granite Wellness Centers,CA,Healthcare Provider,15600,2021,Hacking,Network Server,No
"Loudoun Medical Group d/b/a Comprehensive Sleep Care Center (""CSCC"")",VA,Healthcare Provider,15575,2019,Hacking,Email,No
"USACS Management Group, Ltd.",OH,Business Associate,15552,2018,Hacking,Email,Yes
UT Southwestern Medical Center,TX,Healthcare Provider,15535,2020,Unauthorized Access,Other,No
"University Gastroenterology, Inc.",RI,Healthcare Provider,15478,2016,Hacking,Network Server,No
Delta Dental of Illinois,IL,Health Plan,15466,2019,Hacking,Email,No
"Samaritan Daytop Village, Inc.",NY,Healthcare Provider,15459,2021,Hacking,Network Server,No
Source 1 Healthcare Solutions LLC,PA,Business Associate,15450,2019,Hacking,Email,Yes
The Richards Group,VT,Business Associate,15429,2021,Hacking,Email,Yes
2020 On-Site Optometry,MA,Business Associate,15400,2017,Hacking,Network Server,Yes
Western Health Screening,MT,Business Associate,15326,2017,Theft/Loss,Computer,Yes
CalViva Health,CA,Health Plan,15287,2021,Hacking,Network Server,Yes
"Ozark Orthopaedics, PA",AR,Healthcare Provider,15240,2020,Hacking,Email,No
"MetroPlus Health Plan, Inc. ",NY,Health Plan,15212,2017,Unauthorized Access,Email,No
"David G. Simon, DMD, PA, d/b/a Simon Orthodontics",FL,Healthcare Provider,15129,2018,Hacking,Network Server,No
"Timothee T. Wilkin, D.O.",AR,Healthcare Provider,15113,2019,Hacking,Network Server,No
Barnes-Jewish St. Peters Hospital,MO,Healthcare Provider,15046,2018,Unauthorized Access,Network Server,No
"Interactive Medical Systems, Corp.",NC,Business Associate,15010,2020,Hacking,Email,Yes
Advanced ENT Head & Neck Surgery,CA,Healthcare Provider,15000,2017,Theft/Loss,Computer ,No
"Perfect Teeth Yale, P.C.",CO,Healthcare Provider,15000,2019,Theft/Loss,Computer,No
City of Lafayette Fire Department,CO,Healthcare Provider,15000,2020,Hacking,Network Server,No
"State of New Hampshire, Department of Health and Human Services",NH,Healthcare Provider,14947,2016,Hacking,Computer ,No
"Mediclaim, LLC",MI,Business Associate,14931,2020,Hacking,Network Server,Yes
"Mary Ruth Buchness, MD, Dermatologist, P.C.",NY,Healthcare Provider,14910,2015,Unauthorized Access,Email,Yes
University of California Davis Health,CA,Healthcare Provider,14900,2017,Hacking,Email,No
Verity Medical Foundation,CA,Healthcare Provider,14894,2019,Hacking,Email,No
Texas Health Harris Methodist Hospital Fort Worth,TX,Healthcare Provider,14881,2019,Unauthorized Access,Other,No
Washington University School of Medicine,MO,Healthcare Provider,14795,2020,Hacking,Email,No
Acadia Montana Treatment Center,MT,Healthcare Provider,14794,2019,Hacking,Email,No
Southcentral Foundation,AK,Healthcare Provider,14719,2016,Hacking,Email,No
Choice Cancer Care,TX,Healthcare Provider,14673,2019,Hacking,Email,No
"Diamond Institute for Fertility and Menopause, LLC",NJ,Healthcare Provider,14633,2017,Hacking,Network Server,No
"Yale New Haven Health Services Corporation (""YNHHS"")",CT,Healthcare Provider,14603,2021,Hacking,Network Server,Yes
Nemadji Research Corporation d/b/a California Reimbursement Enterprises,MN,Business Associate,14591,2019,Hacking,Email,Yes
Walmart Inc.,AR,Healthcare Provider,14532,2021,Theft/Loss,Paper/Films,No
Louisiana State University Health Sciences Center-New Orleans,LA,Healthcare Provider,14500,2015,Theft/Loss,Computer ,No
Lycoming-Clinton Joinder Board Programs,PA,Business Associate,14500,2020,Hacking,Email,Yes
"Avalon Health Care Management, Inc.",UT,Business Associate,14500,2020,Hacking,Email,Yes
Lake County Health Department,IL,Healthcare Provider,14488,2020,Unauthorized Access,Email,No
Woodlawn Dental Center,OH,Healthcare Provider,14419,2020,Hacking,Network Server,No
University of Missouri Health Care,MO,Healthcare Provider,14402,2019,Hacking,Email,No
Monadnock Community Hospital,NH,Healthcare Provider,14340,2021,Hacking,Network Server,Yes
Ransom Memorial Hospital ,KS,Healthcare Provider,14329,2018,Hacking,Email,No
Main Line Endoscopy Centers,PA,Healthcare Provider,14305,2019,Hacking,Email,No
"Francisco Jaume, D.O.",AZ,Healthcare Provider,14236,2016,Hacking,Network Server,No
"Sacred Heart Health System, Inc.",FL,Healthcare Provider,14177,2015,Hacking,Email,Yes
"UMass Memorial Medical Group, Inc.",MA,Healthcare Provider,14100,2015,Unauthorized Access,Paper/Films,No
"Hoya Optical Labs of America, Inc.",TX,Business Associate,14099,2021,Hacking,Network Server,Yes
"Confidio, LLC",MD,Business Associate,14016,2020,Hacking,Email,Yes
"Universal Care, Inc. DBA Brand New Day",CA,Health Plan,14005,2017,Unauthorized Access,Other,No
Oregon's Health CO-OP,OR,Health Plan,14000,2015,Theft/Loss,Computer ,No
Aging Disability and Transit Services of Rockingham County  ,NC,Healthcare Provider,14000,2019,Hacking,Network Server,No
"Green Ridge Behavioral Health, LLC",MD,Healthcare Provider,14000,2019,Hacking,Network Server,No
Agility Center Orthopedics,AR,Healthcare Provider,13968,2020,Hacking,Email,No
Special Agents Mutual Benefit Association,MD,Health Plan,13942,2018,Unauthorized Access,Paper/Films,No
UPMC Altoona Regional Health Services,PA,Healthcare Provider,13911,2020,Hacking,Email,No
Artesia General Hospital,NM,Healthcare Provider,13905,2019,Hacking,Email,No
Community Access Unlimited,NJ,Business Associate,13813,2021,Hacking,Network Server,Yes
Florida Hospital Physician Group Inc.,FL,Healthcare Provider,13759,2021,Hacking,Network Server,No
American Home Patient,TN,Healthcare Provider,13709,2017,Theft/Loss,Computer,No
"Uncommon Care, P.A.",NC,Healthcare Provider,13674,2016,Hacking,Network Server,Yes
Oswego Health,NY,Healthcare Provider,13619,2020,Hacking,Email,No
"Discovery Practice Management, Inc.",CA,Business Associate,13611,2021,Hacking,Email,Yes
Rite Aid Corporation,PA,Healthcare Provider,13600,2020,Theft/Loss,Paper/Films,No
"Esther V. Rettig, M.D., P.A.",KS,Healthcare Provider,13500,2018,Hacking,Computer ,No
Southwest Nebraska Public Health Department,NE,Healthcare Provider,13500,2021,Unauthorized Access,Computer ,No
Black River Medical Center,MO,Healthcare Provider,13443,2018,Hacking,Email,No
Family Tree Health Clinic,TX,Healthcare Provider,13402,2017,Hacking,Network Server,No
"Seven Counties Services, Inc.",KY,Healthcare Provider,13375,2020,Hacking,Email,No
Jawonio,NY,Healthcare Provider,13313,2021,Hacking,Email,No
Surgical Dermatology Group,AL,Healthcare Provider,13308,2017,Hacking,Network Server,Yes
"Penobscot Community Health Center, Inc.",ME,Healthcare Provider,13299,2019,Hacking,Other,Yes
"Pathology Solutions, LLC",NJ,Healthcare Provider,13270,2019,Hacking,Network Server,No
"Professional Dermatology Care, P.C.",VA,Healthcare Provider,13237,2016,Hacking,Network Server,No
"Bryan Myers, MD PC, Ashley DeWitt, DO PC, Michael Nobles, MD PC",TN,Healthcare Provider,13150,2016,Hacking,Network Server,No
UF Health Shands,FL,Healthcare Provider,13146,2020,Hacking,Email,Yes
"Mat-Su Surgical Associates, APC",AK,Healthcare Provider,13146,2020,Hacking,Computer ,No
"Baystate Health, Inc.",MA,Healthcare Provider,13112,2016,Hacking,Email,No
Louisiana Healthcare Connections,LA,Health Plan,13086,2016,Theft/Loss,Other,No
Adventist HealthCare,MD,Healthcare Provider,13041,2020,Hacking,Network Server,Yes
"MedSpring of Texas, PA",TX,Healthcare Provider,13034,2018,Hacking,Email,Yes
Mercy Health Love County Hospital and Clinic ,OK,Healthcare Provider,13004,2017,Theft/Loss,Computer ,No
"Pediatric Gastroenterology, Hepatology & Nutrition of Florida, P.A.",FL,Healthcare Provider,13000,2015,Theft/Loss,Paper/Films,No
"Siouxland Anesthesiology, Ltd.",SD,Healthcare Provider,13000,2015,Hacking,Network Server,No
The Ambulatory Surgery Center at St. Mary (ACASM),PA,Healthcare Provider,13000,2016,Hacking,Network Server,No
"SEES Group, LLC",TN,Healthcare Provider,13000,2019,Hacking,Email,No
Hospice of San Joaquin,CA,Healthcare Provider,13000,2019,Hacking,Network Server,No
Fairbanks Hospital,IN,Healthcare Provider,12994,2016,Unauthorized Access,Network Server,No
Wind River Family and Community Health Care,WY,Healthcare Provider,12938,2021,Unauthorized Access,Email,No
Westwood Obstetrics and Gynecology (???Westwood??ù),IL,Healthcare Provider,12931,2021,Hacking,Network Server,Yes
Huntington Hospital,NY,Healthcare Provider,12925,2021,Unauthorized Access,Network Server,No
Eastern Los Angeles Regional Center,CA,Business Associate,12921,2021,Hacking,Email,Yes
CVS Health,RI,Healthcare Provider,12914,2015,Theft/Loss,Computer ,No
"The Neurology Foundation, Inc.",RI,Healthcare Provider,12861,2017,Unauthorized Access,Computer ,No
Magnolia Pediatrics,LA,Healthcare Provider,12861,2020,Hacking,Network Server,No
Hand & Upper Extremity Centers dba Hand Rehabilitation Specialists,CA,Healthcare Provider,12806,2017,Hacking,Network Server,No
Briggs & Stratton Corporation,WI,Health Plan,12789,2017,Hacking,Network Server,No
North Carolina Department of Health and Human Services,NC,Health Plan,12731,2017,Unauthorized Access,Email,No
Florida Hospital ,FL,Healthcare Provider,12724,2018,Hacking,Network Server,No
"PediHealth, PLLC, dba Children's Choice Pediatrics",TX,Healthcare Provider,12689,2019,Hacking,Network Server,No
The McLean Hospital Corporation,MA,Healthcare Provider,12673,2015,Theft/Loss,Computer,No
Beaufort Memorial Hospital,SC,Healthcare Provider,12636,2020,Unauthorized Access,Paper/Films,No
Sinai Health System,IL,Healthcare Provider,12578,2019,Hacking,Email,No
"David E. Beneson, DPM",MI,Healthcare Provider,12542,2019,Hacking,Network Server,No
Montefiore Medical Center ,NY,Healthcare Provider,12517,2015,Theft/Loss,Network Server,No
Concordia Plan Services on behalf of the Concordia Health Plan,MO,Health Plan,12500,2015,Hacking,Network Server,No
San Juan County New Mexico,NM,Healthcare Provider,12500,2016,Hacking,Computer ,No
Ciox Health,GA,Business Associate,12493,2021,Hacking,Email,Yes
North Shore Pain Management,MA,Healthcare Provider,12472,2020,Hacking,Network Server,No
"Central Utah Clinic, P.C. dba Revere Health",UT,Healthcare Provider,12433,2021,Hacking,Email,No
Texas Health Presbyterian Hospital Dallas,TX,Healthcare Provider,12415,2019,Unauthorized Access,Other,No
"Lakewood Resource and Referral Center dba Center for Health Education, Medicine and Dentistry",NJ,Healthcare Provider,12414,2020,Hacking,Network Server,No
CHI Franciscan Health Hospice-Tacoma ,WA,Healthcare Provider,12413,2016,Theft/Loss,Computer ,No
Inova Health System,VA,Healthcare Provider,12331,2018,Hacking,Network Server,No
"Professional Healthcare Management, Inc. ",TN,Healthcare Provider,12306,2021,Hacking,Network Server,No
Colorado Department of Human Services,CO,Healthcare Provider,12230,2019,Unauthorized Access,Other,No
"Arkansas Otolaryngology Center, PA",AR,Healthcare Provider,12217,2020,Hacking,Email,No
"Shop-Rite Supermarkets, Inc.",NY,Healthcare Provider,12172,2017,Improper Disposal,Computer,No
"Athens Heart Center, P.C.",GA,Healthcare Provider,12158,2018,Hacking,Network Server,No
"East Brunswick Open Upright MRI, LLC",NJ,Healthcare Provider,12151,2021,Hacking,Network Server,No
"Cornerstone Care, Inc.",PA,Healthcare Provider,12081,2021,Hacking,Email,No
"Memorial Hermann Health System, reporting on behalf of Memorial Hermann Health System Employee Group Health Plan",TX,Health Plan,12061,2016,Unauthorized Access,Paper/Films,No
Valley Professionals Community Health Center,IN,Healthcare Provider,12029,2019,Hacking,Email,No
"Implants, Dentures & Dental",NV,Healthcare Provider,12000,2015,Theft/Loss,Network Server,No
"Texas Family Psychology Associates, P.C.",TX,Healthcare Provider,12000,2019,Unauthorized Access,Network Server,No
Portsmouth Community Health Center,VA,Healthcare Provider,12000,2019,Hacking,Network Server,No
Managed Health Services (MHS),IN,Health Plan,11988,2021,Unauthorized Access,Paper/Films,Yes
Aetna Inc.,CT,Health Plan,11887,2017,Unauthorized Access,Paper/Films,Yes
"Brandywine Counseling & Community Services, Inc",DE,Healthcare Provider,11852,2020,Hacking,Network Server,No
Adult Internal Medicine of North Scottsdale,AZ,Healthcare Provider,11798,2017,Hacking,Network Server,No
Southern New Mexico Neurosurgery LLC,NM,Healthcare Provider,11754,2019,Improper Disposal,Network Server,No
NeurAbilities Healthcare,NJ,Healthcare Provider,11747,2020,Hacking,Email,No
"Medical Information Management Systems, LLC",FL,Business Associate,11707,2017,Hacking,Network Server,Yes
"Hermitage Eye Care, PLLC dba Dover Eye Care",TN,Healthcare Provider,11672,2021,Hacking,Network Server,Yes
Baystate Health,MA,Healthcare Provider,11658,2019,Hacking,Email,No
"Riverplace Counseling Center, Inc.",MN,Healthcare Provider,11639,2019,Hacking,Network Server,No
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,11638,2021,Hacking,Email,No
Southern Hills Eye Care,IA,Healthcare Provider,11617,2019,Hacking,Network Server,No
"Vitreo-Retinal Medical Group, Inc. d/b/a Retinal Consultants Medical Group",CA,Healthcare Provider,11603,2021,Hacking,Network Server,No
"Iowa Total Care, Inc.",IA,Health Plan,11581,2020,Unauthorized Access,Email,No
Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,11552,2018,Unauthorized Access,Paper/Films,Yes
Service Benefit Plan Administrative Services Corporation,DC,Business Associate,11536,2019,Unauthorized Access,Network Server,Yes
Guardian Pharmacy of Jacksonville,FL,Healthcare Provider,11521,2018,Hacking,Email,No
NCH Corporation,TX,Health Plan,11427,2021,Hacking,Network Server,No
Susan M Hughes Center,NJ,Healthcare Provider,11400,2016,Hacking,Network Server,No
